,method,workers,N,delay,pi,delay_per_point
1011,threading,18,55600000,41.042017221450806,3.060864433985792,7.381657773642231e-07
1012,multiprocessing,18,55600000,0.8866257667541504,3.060910844085825,1.5946506596297667e-08
1013,threading,19,55600000,40.24075222015381,3.060974030932974,7.237545363337015e-07
1014,multiprocessing,19,55600000,1.0517292022705078,3.0606857894069037,1.8915992846591868e-08
1015,threading,20,55600000,40.84477639198303,3.060770368108763,7.346182804313495e-07
1016,multiprocessing,20,55600000,1.0875401496887207,3.060844644456478,1.956007463468922e-08
1017,threading,21,55600000,40.91992783546448,3.0609753454334787,7.35969925098282e-07
1018,multiprocessing,21,55600000,1.1293320655822754,3.060825725964453,2.0311727798242363e-08
1019,threading,22,55600000,40.741361141204834,3.0604706159893738,7.327582939065618e-07
1020,multiprocessing,22,55600000,1.1796071529388428,3.060814116058563,2.1215955988108682e-08
1021,threading,23,55600000,40.62525391578674,3.0607652224120128,7.306700344565961e-07
1022,multiprocessing,23,55600000,1.0998294353485107,3.0607560353216288,1.9781104952311344e-08
1023,threading,24,55600000,40.5159273147583,3.0608088104415985,7.287037286827032e-07
1024,multiprocessing,24,55600000,1.091386318206787,3.06094310392367,1.96292503274602e-08
1025,threading,25,55600000,40.67937517166138,3.060785631338897,7.316434383392334e-07
1026,multiprocessing,25,55600000,1.0718562602996826,3.0606748232429464,1.927799029315976e-08
1027,threading,26,55600000,40.628540992736816,3.060853285424589,7.307291545456262e-07
1028,multiprocessing,26,55600000,1.0197579860687256,3.06063371147376,1.8340970972459094e-08
1029,threading,27,55600000,40.84896636009216,3.0606372062522325,7.346936395700029e-07
1030,multiprocessing,27,55600000,1.0230646133422852,3.0610767178295246,1.8400442686012323e-08
1031,threading,28,55600000,40.87531876564026,3.060827565432751,7.351676036985658e-07
1032,multiprocessing,28,55600000,0.9630661010742188,3.0606390439976408,1.7321332753133432e-08
1033,threading,29,55600000,40.70044827461243,3.0605989985626683,7.320224509822379e-07
1034,multiprocessing,29,55600000,0.9399139881134033,3.0607941084355614,1.6904927843766247e-08
1035,threading,30,55600000,40.71044206619263,3.061009302612693,7.322021954351192e-07
1036,multiprocessing,30,55600000,0.9134922027587891,3.060828757790312,1.6429715876956637e-08
1037,threading,1,55600000,10.977102756500244,3.0609892677938784,1.9742990569245043e-07
1038,multiprocessing,1,55600000,10.886077642440796,3.0608796347153615,1.9579276335325173e-07
1039,sequential,1,55600000,10.875431299209595,3.061017613474106,1.956012823598848e-07
1040,threading,2,55600000,40.679097414016724,3.0607946236793446,7.316384426981425e-07
1041,multiprocessing,2,55600000,5.624051332473755,3.0605923393418,1.011520023826215e-07
1042,threading,3,55600000,40.5558500289917,3.06072279971893,7.294217631113615e-07
1043,multiprocessing,3,55600000,3.918217658996582,3.0607120507213907,7.047154062943493e-08
1044,threading,4,55600000,39.90786147117615,3.0609689200677335,7.17767292647053e-07
1045,multiprocessing,4,55600000,2.9928503036499023,3.0607151788434552,5.382824287140112e-08
1046,threading,5,55600000,39.781071186065674,3.060791404731029,7.154868918357136e-07
1047,multiprocessing,5,55600000,2.4192206859588623,3.060890064120224,4.35111634165263e-08
1048,threading,6,55600000,39.9260311126709,3.0608397245893393,7.18094084760268e-07
1049,multiprocessing,6,55600000,2.0431532859802246,3.060994606096791,3.6747361258637134e-08
1050,threading,7,55600000,39.828054666519165,3.060696091572413,7.163319184625749e-07
1051,multiprocessing,7,55600000,1.7692193984985352,3.061121698046116,3.182049277875063e-08
1052,threading,8,55600000,40.114407777786255,3.060672996967413,7.214821542767312e-07
1053,multiprocessing,8,55600000,1.5325579643249512,3.0607416178279974,2.7563992164117827e-08
1054,threading,9,55600000,40.72119092941284,3.060729229537565,7.323955203131806e-07
1055,multiprocessing,9,55600000,1.3674132823944092,3.0606671228269833,2.4593764071841893e-08
1056,threading,10,55600000,40.747400522232056,3.0608668668748895,7.32866915867483e-07
1057,multiprocessing,10,55600000,1.2350172996520996,3.0606632903724105,2.2212541360649272e-08
1058,threading,11,55600000,40.78371858596802,3.0608079584807735,7.335201184526622e-07
1059,multiprocessing,11,55600000,1.1555349826812744,3.060804911497899,2.078300328563443e-08
1060,threading,12,55600000,40.901407957077026,3.060681054129802,7.356368337603782e-07
